f_reporte_web	Fallecido	Recuperado	Observacion 	Positivos
2020-03-06	0	1	0	1
2020-03-09	0	2	0	2
2020-03-11	0	6	0	6
2020-03-12	0	5	0	5
2020-03-13	0	5	0	5
2020-03-14	0	18	0	18
2020-03-15	0	16	0	16
2020-03-16	1	13	0	14
2020-03-17	0	25	0	25
2020-03-18	0	12	0	12
2020-03-19	0	26	0	26
2020-03-20	3	45	0	48
2020-03-21	1	33	0	34
2020-03-22	1	28	0	29
2020-03-23	4	69	0	73
2020-03-24	4	101	0	105
2020-03-25	1	60	0	61
2020-03-26	1	9	0	10
2020-03-27	4	45	0	49
2020-03-28	5	64	0	69
2020-03-29	3	91	0	94
2020-03-30	9	86	1	96
2020-03-31	6	101	0	107
2020-04-01	12	147	1	160
2020-04-02	4	92	0	96
2020-04-03	9	96	0	105
2020-04-04	11	129	0	140
2020-04-05	7	72	0	79
2020-04-06	10	84	0	94
2020-04-07	9	120	0	129
2020-04-08	22	324	0	346
2020-04-09	18	151	0	169
2020-04-10	17	234	0	251
2020-04-11	27	208	0	235
2020-04-12	6	61	0	67
2020-04-13	1	73	1	76
2020-04-14	6	119	1	126
2020-04-15	13	111	1	125
2020-04-16	10	118	0	128
2020-04-17	9	196	0	205
2020-04-18	11	172	0	183
2020-04-19	4	170	0	174
2020-04-20	9	172	1	182
2020-04-21	8	162	1	171
2020-04-22	5	188	0	193
2020-04-23	16	177	1	194
2020-04-24	14	289	1	304
2020-04-25	13	247	1	261
2020-04-26	6	231	0	237
2020-04-27	4	212	2	218
2020-04-28	23	331	0	354
2020-04-29	15	246	0	261
2020-04-30	20	275	1	296
2020-05-01	18	480	2	500
2020-05-02	20	255	2	277
2020-05-03	13	407	3	423
2020-05-04	8	298	1	307
2020-05-05	44	593	4	641
2020-05-06	10	335	2	347
2020-05-07	12	485	0	497
2020-05-08	31	561	3	595
2020-05-09	19	425	0	444
2020-05-10	29	536	3	568
2020-05-11	24	525	1	550
2020-05-12	26	629	3	658
2020-05-13	27	628	4	659
2020-05-14	31	648	1	680
2020-05-15	20	584	2	606
2020-05-16	31	690	2	723
2020-05-17	19	611	5	635
2020-05-18	20	696	5	721
2020-05-19	29	609	2	640
2020-05-20	33	719	0	752
2020-05-21	20	622	1	643
2020-05-22	32	767	2	801
2020-05-23	48	993	5	1046
2020-05-24	42	956	0	998
2020-05-25	17	789	0	806
2020-05-26	22	994	6	1022
2020-05-27	30	1067	4	1101
2020-05-28	51	1207	4	1262
2020-05-29	42	1276	4	1322
2020-05-30	84	1460	4	1548
2020-05-31	30	1115	2	1147
2020-06-01	33	1074	3	1110
2020-06-02	80	1255	5	1340
2020-06-03	54	1464	2	1521
2020-06-04	78	1681	7	1766
2020-06-05	56	1446	13	1515
2020-06-06	56	1329	7	1392
2020-06-07	68	1133	8	1209
2020-06-08	75	1403	5	1483
2020-06-09	54	1300	5	1359
2020-06-10	66	1532	6	1604
2020-06-11	55	1473	2	1530
2020-06-12	81	1556	9	1646
2020-06-13	105	1777	6	1888
2020-06-14	104	2077	12	2193
2020-06-15	104	2010	10	2124
2020-06-16	84	1774	9	1868
2020-06-17	132	1980	3	2115
2020-06-18	186	2974	11	3171
2020-06-19	140	2901	18	3059
